PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
Nyara Sabally,D,71300,U,72727,U,79999,OPT,90908,RFA,,,New York Liberty

DiDi Richards,U,69053,OPT,78469,RFA,,,,,,,New York Liberty

Sika Koné,D,62285,U,63532,U,66710,OPT,76240,RFA,,,New York Liberty

Han Xu,TC,62285,Reserved,,,,,,,,,New York Liberty

Morgan Green,TC,62285,Reserved,,,,,,,,,New York Liberty

Stephanie Mawuli,TC,62285,Reserved,,,,,,,,,New York Liberty

Marine Johannès,TC,62285,Reserved,,,,,,,,,New York Liberty

Cap Room,,138206,,1053802,,1360391,,1385152,,1598800,,New York Liberty

2023 Round 3 Pick 6 (30) (NYL),U,62285,U,63532,U,66710,OPT,76240,RFA,,,New York Liberty

2024 Round 1 Pick ? (?) (NYL),,,U,0,U,0,U,0,OPT,0,,New York Liberty

2024 Round 2 Pick ? (?) (CHI),,,U,67249,U,68595,U,75456,OPT,85745,,New York Liberty

2024 Round 2 Pick ? (?) (NYL),,,U,67249,U,68595,U,75456,OPT,85745,,New York Liberty

2024 Round 3 Pick ? (?) (NYL),,,U,64154,U,65438,U,68711,OPT,78527,,New York Liberty

2025 Round 1 Pick ? (?) (NYL),,,,,U,0,U,0,U,0,,New York Liberty

2025 Round 2 Pick ? (?) (NYL),,,,,U,69267,U,70653,U,77720,,New York Liberty

2025 Round 3 Pick ? (?) (NYL),,,,,U,66079,U,67401,U,70773,,New York Liberty

Diana Taurasi,V,234936,V,234936,UFA,,,,,,,Phoenix Mercury

Skylar Diggins-Smith,V,234350,UFA,,,,,,,,"2020, 2021, 2022, 2023",Phoenix Mercury

Brittney Griner,V,165100,UFA,,,,,,,,"2020, 2021, 2022",Phoenix Mercury

Sophie Cunningham,V,150000,V,154500,UFA,,,,,,,Phoenix Mercury

Brianna Turner,V,150000,V,150000,UFA,,,,,,,Phoenix Mercury

Moriah Jefferson,V,137500,V,141500,V,145500,UFA,,,,,Phoenix Mercury

Michaela Onyenwere,U,75407,OPT,85690,RFA,,,,,,,Phoenix Mercury

Megan Gustafson,TC,74305,UFA,,,,,,,,,Phoenix Mercury

Shey Peddy,TC,74305,UFA,,,,,,,,,Phoenix Mercury

Sydney Wiese,TC,74305,UFA,,,,,,,,,Phoenix Mercury

Jennie Simms,TC,62285,Reserved,,,,,,,,,Phoenix Mercury

Destiny Slocum,TC,62285,Reserved,,,,,,,,,Phoenix Mercury

Sug Sutton,TC,62285,Reserved,,,,,,,,,Phoenix Mercury

Sam Thomas,TC,62285,Reserved,,,,,,,,,Phoenix Mercury

Cap Room,,273207,,696574,,1361600,,1552300,,1598800,,Phoenix Mercury

2023 Round 3 Pick 3 (27) (ATL),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Phoenix Mercury

2023 Round 3 Pick 5 (29) (PHO),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Phoenix Mercury

2024 Round 1 Pick ? (?) (PHO),,,U,0,U,0,U,0,OPT,0,,Phoenix Mercury

2024 Round 3 Pick ? (?) (CHI),,,U,64154,U,65438,U,68711,OPT,78527,,Phoenix Mercury

2024 Round 3 Pick ? (?) (PHO),,,U,64154,U,65438,U,68711,OPT,78527,,Phoenix Mercury

2025 Round 1 Pick ? (?) (PHO),,,,,U,0,U,0,U,0,,Phoenix Mercury

2025 Round 2 Pick ? (?) (CHI),,,,,U,69267,U,70653,U,77720,,Phoenix Mercury

2025 Round 2 Pick ? (?) (PHO),,,,,U,69267,U,70653,U,77720,,Phoenix Mercury

2025 Round 3 Pick ? (?) (PHO),,,,,U,66079,U,67401,U,70773,,Phoenix Mercury

Jewell Loyd,V,234936,UFA,,,,,,,,"2022, 2023",Seattle Storm

Mercedes Russell,V,160000,V,160000,UFA,,,,,,,Seattle Storm

Ezi Magbegor,V,159650,V,155000,UFA,,,,,,,Seattle Storm

Kia Nurse,V,142500,V,142500,UFA,,,,,,,Seattle Storm

Sami Whitcomb,V,142500,V,140000,UFA,,,,,,,Seattle Storm

Theresa Plaisance,U,90000,UFA,,,,,,,,,Seattle Storm

